"MEASURE","Household Composition","NPRD","Number of Persons Usually Resident","STATE","State","REGIONTYPE","Region Type","REGION","LGA 2011","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","12850","Fairfield (C)","A","Annual","2011","2011",55835,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","12900","Forbes (A)","A","Annual","2011","2011",3563,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","12950","Gilgandra (A)","A","Annual","2011","2011",1650,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","13010","Glen Innes Severn (A)","A","Annual","2011","2011",3465,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","13050","Gloucester (A)","A","Annual","2011","2011",2000,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","13100","Gosford (C)","A","Annual","2011","2011",61294,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","13310","Goulburn Mulwaree (A)","A","Annual","2011","2011",10456,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","13320","Great Lakes (A)","A","Annual","2011","2011",14305,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","13340","Greater Hume Shire (A)","A","Annual","2011","2011",3611,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","13380","Greater Taree (C)","A","Annual","2011","2011",18162,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","13450","Griffith (C)","A","Annual","2011","2011",8453,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","13500","Gundagai (A)","A","Annual","2011","2011",1404,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","13550","Gunnedah (A)","A","Annual","2011","2011",4487,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","13650","Guyra (A)","A","Annual","2011","2011",1611,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","13660","Gwydir (A)","A","Annual","2011","2011",2019,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","13700","Harden (A)","A","Annual","2011","2011",1435,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","13800","Hawkesbury (C)","A","Annual","2011","2011",20845,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","13850","Hay (A)","A","Annual","2011","2011",1166,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","13950","Holroyd (C)","A","Annual","2011","2011",33014,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14000","Hornsby (A)","A","Annual","2011","2011",52671,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14100","Hunters Hill (A)","A","Annual","2011","2011",4489,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14150","Hurstville (C)","A","Annual","2011","2011",27547,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14200","Inverell (A)","A","Annual","2011","2011",6082,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14250","Jerilderie (A)","A","Annual","2011","2011",544,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14300","Junee (A)","A","Annual","2011","2011",1887,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14350","Kempsey (A)","A","Annual","2011","2011",10612,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14400","Kiama (A)","A","Annual","2011","2011",7412,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14450","Kogarah (C)","A","Annual","2011","2011",19348,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14500","Ku-ring-gai (A)","A","Annual","2011","2011",35779,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14550","Kyogle (A)","A","Annual","2011","2011",3603,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14600","Lachlan (A)","A","Annual","2011","2011",2477,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14650","Lake Macquarie (C)","A","Annual","2011","2011",70558,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14700","Lane Cove (A)","A","Annual","2011","2011",11883,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14750","Leeton (A)","A","Annual","2011","2011",3789,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14800","Leichhardt (A)","A","Annual","2011","2011",21316,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14850","Lismore (C)","A","Annual","2011","2011",16345,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14870","Lithgow (C)","A","Annual","2011","2011",7787,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14900","Liverpool (C)","A","Annual","2011","2011",53595,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14920","Liverpool Plains (A)","A","Annual","2011","2011",2949,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","14950","Lockhart (A)","A","Annual","2011","2011",1127,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","15050","Maitland (C)","A","Annual","2011","2011",24097,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","15150","Manly (A)","A","Annual","2011","2011",15132,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","15200","Marrickville (A)","A","Annual","2011","2011",29977,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","15270","Mid-Western Regional (A)","A","Annual","2011","2011",8363,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","15300","Moree Plains (A)","A","Annual","2011","2011",4664,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","15350","Mosman (A)","A","Annual","2011","2011",10743,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","15500","Murray (A)","A","Annual","2011","2011",2709,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","15550","Murrumbidgee (A)","A","Annual","2011","2011",836,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","15650","Muswellbrook (A)","A","Annual","2011","2011",5532,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","15700","Nambucca (A)","A","Annual","2011","2011",7616,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","15750","Narrabri (A)","A","Annual","2011","2011",4783,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","15800","Narrandera (A)","A","Annual","2011","2011",2245,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","15850","Narromine (A)","A","Annual","2011","2011",2449,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","15900","Newcastle (C)","A","Annual","2011","2011",58450,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","15950","North Sydney (A)","A","Annual","2011","2011",28427,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","16100","Oberon (A)","A","Annual","2011","2011",1888,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","16150","Orange (C)","A","Annual","2011","2011",13864,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","16180","Palerang (A)","A","Annual","2011","2011",4850,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","16200","Parkes (A)","A","Annual","2011","2011",5401,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","16250","Parramatta (C)","A","Annual","2011","2011",56702,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","16350","Penrith (C)","A","Annual","2011","2011",59391,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","16370","Pittwater (A)","A","Annual","2011","2011",19774,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","16380","Port Macquarie-Hastings (A)","A","Annual","2011","2011",29062,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","16400","Port Stephens (A)","A","Annual","2011","2011",23976,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","16470","Queanbeyan (C)","A","Annual","2011","2011",14111,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","16550","Randwick (C)","A","Annual","2011","2011",47563,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","16610","Richmond Valley (A)","A","Annual","2011","2011",8459,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","16650","Rockdale (C)","A","Annual","2011","2011",34408,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","16700","Ryde (C)","A","Annual","2011","2011",37678,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","16900","Shellharbour (C)","A","Annual","2011","2011",22436,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","16950","Shoalhaven (C)","A","Annual","2011","2011",35932,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17000","Singleton (A)","A","Annual","2011","2011",7757,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17050","Snowy River (A)","A","Annual","2011","2011",2364,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17100","Strathfield (A)","A","Annual","2011","2011",11378,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17150","Sutherland Shire (A)","A","Annual","2011","2011",75349,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17200","Sydney (C)","A","Annual","2011","2011",73170,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17310","Tamworth Regional (A)","A","Annual","2011","2011",21143,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17350","Temora (A)","A","Annual","2011","2011",2290,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17400","Tenterfield (A)","A","Annual","2011","2011",2685,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17420","The Hills Shire (A)","A","Annual","2011","2011",53296,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17450","Tumbarumba (A)","A","Annual","2011","2011",1290,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17500","Tumut Shire (A)","A","Annual","2011","2011",4200,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17550","Tweed (A)","A","Annual","2011","2011",33657,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17620","Upper Hunter Shire (A)","A","Annual","2011","2011",5245,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17640","Upper Lachlan Shire (A)","A","Annual","2011","2011",2799,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17650","Uralla (A)","A","Annual","2011","2011",2202,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17700","Urana (A)","A","Annual","2011","2011",446,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17750","Wagga Wagga (C)","A","Annual","2011","2011",21715,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17800","Wakool (A)","A","Annual","2011","2011",1513,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17850","Walcha (A)","A","Annual","2011","2011",1217,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17900","Walgett (A)","A","Annual","2011","2011",2491,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","17950","Warren (A)","A","Annual","2011","2011",1101,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","18000","Warringah (A)","A","Annual","2011","2011",50636,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","18020","Warrumbungle Shire (A)","A","Annual","2011","2011",3663,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","18050","Waverley (A)","A","Annual","2011","2011",24867,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","18100","Weddin (A)","A","Annual","2011","2011",1504,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","18150","Wellington (A)","A","Annual","2011","2011",3062,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","18200","Wentworth (A)","A","Annual","2011","2011",2463,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","18250","Willoughby (C)","A","Annual","2011","2011",24700,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","18350","Wingecarribee (A)","A","Annual","2011","2011",16694,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","18400","Wollondilly (A)","A","Annual","2011","2011",13953,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","18450","Wollongong (C)","A","Annual","2011","2011",71766,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","18500","Woollahra (A)","A","Annual","2011","2011",20462,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","18550","Wyong (A)","A","Annual","2011","2011",55911,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","18710","Yass Valley (A)","A","Annual","2011","2011",5180,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","18750","Young (A)","A","Annual","2011","2011",4573,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","19399","Unincorporated NSW","A","Annual","2011","2011",390,,
"TOT","Total","TOT","Total","1","New South Wales","LGA2011","Local Government Areas (2011)","19499","No Usual Address (NSW)","A","Annual","2011","2011",0,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","20110","Alpine (S)","A","Annual","2011","2011",4739,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","20260","Ararat (RC)","A","Annual","2011","2011",4331,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","20570","Ballarat (C)","A","Annual","2011","2011",35745,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","20660","Banyule (C)","A","Annual","2011","2011",43697,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","20740","Bass Coast (S)","A","Annual","2011","2011",11858,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","20830","Baw Baw (S)","A","Annual","2011","2011",15982,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","20910","Bayside (C)","A","Annual","2011","2011",33271,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","21010","Benalla (RC)","A","Annual","2011","2011",5541,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","21110","Boroondara (C)","A","Annual","2011","2011",57231,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","21180","Brimbank (C)","A","Annual","2011","2011",58771,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","21270","Buloke (S)","A","Annual","2011","2011",2615,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","21370","Campaspe (S)","A","Annual","2011","2011",13798,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","21450","Cardinia (S)","A","Annual","2011","2011",25037,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","21610","Casey (C)","A","Annual","2011","2011",80472,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","21670","Central Goldfields (S)","A","Annual","2011","2011",5250,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","21750","Colac-Otway (S)","A","Annual","2011","2011",7857,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","21830","Corangamite (S)","A","Annual","2011","2011",6194,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","21890","Darebin (C)","A","Annual","2011","2011",51626,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","22110","East Gippsland (S)","A","Annual","2011","2011",16859,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","22170","Frankston (C)","A","Annual","2011","2011",47405,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","22250","Gannawarra (S)","A","Annual","2011","2011",4163,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","22310","Glen Eira (C)","A","Annual","2011","2011",49896,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","22410","Glenelg (S)","A","Annual","2011","2011",7714,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","22490","Golden Plains (S)","A","Annual","2011","2011",6298,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","22620","Greater Bendigo (C)","A","Annual","2011","2011",38218,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","22670","Greater Dandenong (C)","A","Annual","2011","2011",45490,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","22750","Greater Geelong (C)","A","Annual","2011","2011",80526,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","22830","Greater Shepparton (C)","A","Annual","2011","2011",21809,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","22910","Hepburn (S)","A","Annual","2011","2011",5768,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","22980","Hindmarsh (S)","A","Annual","2011","2011",2341,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","23110","Hobsons Bay (C)","A","Annual","2011","2011",31141,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","23190","Horsham (RC)","A","Annual","2011","2011",7633,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","23270","Hume (C)","A","Annual","2011","2011",52243,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","23350","Indigo (S)","A","Annual","2011","2011",5612,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","23430","Kingston (C)","A","Annual","2011","2011",53445,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","23670","Knox (C)","A","Annual","2011","2011",52057,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","23810","Latrobe (C)","A","Annual","2011","2011",27948,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","23940","Loddon (S)","A","Annual","2011","2011",3037,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","24130","Macedon Ranges (S)","A","Annual","2011","2011",14522,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","24210","Manningham (C)","A","Annual","2011","2011",38621,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","24250","Mansfield (S)","A","Annual","2011","2011",2985,,
"TOT","Total","TOT","Total","2","Victoria","LGA2011","Local Government Areas (2011)","24330","Maribyrnong (C)","A","Annual","2011","2011",26449,,
